Country,Country ISO,Country Code,Destination Network,MCC,MNC,Rate in USD
Aruba,ABW,297,Aruba-MIO,,,0.01000
Aruba,ABW,297,Aruba-Others,,,0.04200
Aruba,ABW,297,Aruba - New Millennium Telecom (Digicel),363,002,0.02500
Aruba,ABW,297,Aruba - SETAR,363,001,0.01890
Afghanistan,AFG,93,Afghanistan-Other,,,0.01000
Afghanistan,AFG,93,Afghanistan - Afghan Telecom,412,088,0.01000
Afghanistan,AFG,93,Afghanistan - Afghan Wireless Communication Company (AWCC),412,001,0.07800
Afghanistan,AFG,93,Afghanistan - Areeba (MTN),412,040,0.07000
Afghanistan,AFG,93,Afghanistan - Etisalat,412,050,0.00920
Afghanistan,AFG,93,Afghanistan - Roshan,412,020,0.05100
Angola,AGO,244,Angola-Others,,,0.04400
Angola,AGO,244,Angola - Movicel,631,004,0.02600
Angola,AGO,244,Angola - Unitel,631,002,0.04000
Anguilla,AIA,1264,Anguilla-Digicel,,,0.02200
Anguilla,AIA,1264,Anguilla-Others,,,0.02200
Anguilla,AIA,1264,Anguilla-LIME,,,0.02000
Anguilla,AIA,1264,Anguilla - Cable & Wireless (Anguilla),365,840,0.02370
Anguilla,AIA,1264,Anguilla - Weblinks,365,010,0.01600
Albania,ALB,355,Albania-Others,,,0.01800
Albania,ALB,355,Albania - Albania Mobile Communications (AMC),276,001,0.06600
Albania,ALB,355,Albania - Eagle Mobile,276,003,0.06500
Albania,ALB,355,Albania - Plus Communications (4L),276,004,0.03000
Albania,ALB,355,Albania - Vodafone Albania,276,002,0.01400
Andorra,AND,376,Andorra - All Networks,,,0.04000
Netherlands Antilles,ANT,599,Netherlands Antilles-Telcell,362,051,0.01390
Netherlands Antilles,ANT,599,Netherlands Antilles - Digicel,362,069,0.03500
Netherlands Antilles,ANT,599,Netherlands Antilles - Satel,362,091,0.03500
United Arab Emirates,ARE,971,United Arab Emirates-Others,,,0.01280
United Arab Emirates,ARE,971,United Arab Emirates - Etisalat,424,002,0.01280
United Arab Emirates,ARE,971,United Arab Emirates - du,424,003,0.01600
Argentina,ARG,54,Argentina-Movistar,,,0.00960
Argentina,ARG,54,Argentina-Others,,,0.00960
Argentina,ARG,54,Argentina - CTI NORTE COMPANIA DE TELEFONOS DEL INTERIOR,722,320,0.00960
Argentina,ARG,54,Argentina - Claro,722,310,0.01469
Argentina,ARG,54,Argentina - NEXTEL COMMUNICATIONS ARGENTIN,722,020,0.00875
Argentina,ARG,54,Argentina - TELECOM PERSONAL,722,034,0.05005
Argentina,ARG,54,Argentina - TELEFONICA MOVILES ARGENTINA,722,007,0.01413
Argentina,ARG,54,COMPANIA DE RADIOCOMUNICACIONE,722,010,0.05005
Argentina,ARG,54,Argentina - GTE PCS,722,003,0.05005
Argentina,ARG,54,Argentina - TELEFONICA COMUNICACIONES PERSONALES,722,070,0.01469
Argentina,ARG,54,CTI COMPANIA DE TELEFONOS DEL INTERIOR,722,330,0.06800
Armenia,ARM,374,Armenia-Others,,,0.02500
Armenia,ARM,374,Armenia - ArmenTel,283,001,0.01000
Armenia,ARM,374,Armenia - K-Telecom (Vivacell),283,005,0.01180
Armenia,ARM,374,Armenia - Karabagh Telecom,283,004,0.01000
Armenia,ARM,374,Armenia - Orange Armenia,283,010,0.02500
American Samoa,ASM,1684,American Samoa-Others,,,0.06500
American Samoa,ASM,1684,American Samoa-ASTCA,,,0.06500
American Samoa,ASM,1684,American Samoa - American Samoa License DBA Blue Sky Communications,544,011,0.04000
Antigua and Barbuda,ATG,1268,Antigua and Barbuda-Others,,,0.01500
Antigua and Barbuda,ATG,1268,Antigua and Barbuda - APUA PCS,344,030,0.01180
Antigua and Barbuda,ATG,1268,Antigua and Barbuda - Cable & Wireless (Antigua),344,920,0.01920
Australia,AUS,61,Australia - Other Networks,,,0.03800
Australia,AUS,61,Australia-YES OPTUS,,,0.03800
Australia,AUS,61,Australia - Dialogue Communications Pty Limited,505,026,0.03800
Australia,AUS,61,Australia - Pivotel Satellite Pty Limited,505,088,0.03800
Australia,AUS,61,Australia - Rail Corporation,505,013,0.03800
Australia,AUS,61,Australia - SingTel Optus,505,002,0.03800
Australia,AUS,61,Australia - Telstra Corporation,505,072,0.03800
Australia,AUS,61,Australia - Victorian Rail Track,505,016,0.03800
Australia,AUS,61,Australia - Vodafone Australia PTY Limited,505,003,0.04290
Australia,AUS,61,Australia - Vodafone Hutchison Australia,505,038,0.03800
Austria,AUT,43,Austria - All Networks,,,0.05800
Azerbaijan,AZE,994,Azerbaijan-Others,,,0.03500
Azerbaijan,AZE,994,Azerbaijan-FONEX(Catel),,,0.02000
Azerbaijan,AZE,994,Azerbaijan - Azercell,400,001,0.03500
Azerbaijan,AZE,994,Azerbaijan - Azerfon(Nar Mobile),400,004,0.00850
Azerbaijan,AZE,994,Azerbaijan - Bakcell,400,002,0.03080
Azerbaijan,AZE,994,Azerbaijan - Catel,400,501,0.00880
Burundi,BDI,257,Burundi-Others,,,0.05600
Burundi,BDI,257,Burundi - Africell,642,002,0.00880
Burundi,BDI,257,Burundi - Econet Wireless,642,001,0.00880
Burundi,BDI,257,Burundi - Lacell (Smart Mobile),642,007,0.03000
Burundi,BDI,257,Burundi - Onatel,642,003,0.05500
Burundi,BDI,257,Burundi - U-COM,642,082,0.00880
Belgium,BEL,32,Belgium-Others,206,009,0.05000
Belgium,BEL,32,Belgium - Belgacom Mobile - Proximus,206,001,0.05733
Belgium,BEL,32,Belgium - KPN Belgium (BASE),206,020,0.02160
Belgium,BEL,32,Belgium - Lycamobile,206,006,0.05000
Belgium,BEL,32,Belgium - MOBISTAR s.a.,206,010,0.05733
Belgium,BEL,32,Belgium - N.M.B.S.,206,002,0.05000
Belgium,BEL,32,Belgium - TELENET n.v.,206,005,0.04095
Benin,BEN,229,Benin - Etisalat (Telecel),,,0.02500
Benin,BEN,229,Benin-MTN,,,0.04500
Benin,BEN,229,Benin-Others,,,0.04000
Benin,BEN,229,Benin - BBCom,616,004,0.03000
Benin,BEN,229,Benin - BeninCell (MTN)(Spacetel),616,003,0.03500
Benin,BEN,229,Benin - GloBenin,616,005,0.02500
Benin,BEN,229,Benin - Libercom,616,001,0.01800
Benin,BEN,229,Benin - Telecel,616,002,0.06500
Burkina Faso,BFA,226,Burkina Faso-Others,,,0.01400
Burkina Faso,BFA,226,Burkina Faso - Airtel Burkina Faso S.A.,613,002,0.03500
Burkina Faso,BFA,226,Burkina Faso - Telecel Faso S.A.,613,003,0.01000
Burkina Faso,BFA,226,Burkina Faso - Telmob S.A (ONATEL),613,001,0.01960
Bangladesh,BGD,880,Bangladesh All,,,0.05500
Bangladesh,BGD,880,Bangladesh - Axiat Bangladesh Ltd,470,002,0.05500
Bangladesh,BGD,880,Bangladesh - Grameen Phone,470,001,0.05500
Bangladesh,BGD,880,Bangladesh - Orascom Telecom Holding,470,003,0.05500
Bangladesh,BGD,880,Bangladesh - Pacific Bangladesh Telecom,470,005,0.05500
Bangladesh,BGD,880,Bangladesh - Teletalk,470,004,0.05500
Bangladesh,BGD,880,Bangladesh - Warid Telecom,470,007,0.05500
Bulgaria,BGR,359,Bulgaria - Other Networks,,,0.05600
Bulgaria,BGR,359,Bulgaria - Bulgarian Telecom Company (BTC),284,006,0.04000
Bulgaria,BGR,359,Bulgaria - Globul (Cosmo Bulgaria Mobile),284,005,0.07700
Bulgaria,BGR,359,Bulgaria - MobilTel AD,284,001,0.05240
Bahrain,BHR,973,Bahrain-Others,,,0.01300
Bahrain,BHR,973,Bahrain - Batelco,426,001,0.01200
Bahrain,BHR,973,Bahrain - ROYAL COURT,426,005,0.01200
Bahrain,BHR,973,Bahrain - Viva Bahrain / STC Bahrain,426,004,0.01200
Bahrain,BHR,973,Bahrain - Zain Bahrain,426,002,0.01200
Bahamas,BHS,1242,Bahamas - All Networks,,,0.02250
Bosnia and Herzegovina,BIH,387,Bosnia and Herzegovina-Others,,,0.03600
Bosnia and Herzegovina,BIH,387,Bosnia and Herzegovina - GSM BIH (BH Telecom),218,090,0.09000
Bosnia and Herzegovina,BIH,387,Bosnia and Herzegovina - HPT Mostar (HT d.d. Mostar),218,003,0.00880
Bosnia and Herzegovina,BIH,387,Bosnia and Herzegovina - m:tel,218,005,0.05800
Belarus,BLR,375,Belarus-Others,,,0.01500
Belarus,BLR,375,Belarus - BelCel JV,257,501,0.01500
Belarus,BLR,375,Belarus - JV Mobile Digital Communications Ltd (Velcom),257,001,0.02000
Belarus,BLR,375,Belarus - Life:),257,004,0.02000
Belarus,BLR,375,Belarus - Mobile TeleSystems LLC (MTS),257,002,0.02000
Belize,BLZ,501,Belize - All Networks,,,0.00880
Bermuda,BMU,1441,Bermuda - All Networks,,,0.01890
Bolivia,BOL,591,Bolivia-Others,,,0.01000
Bolivia,BOL,591,Bolivia - Entel,736,002,0.02000
Bolivia,BOL,591,Bolivia - Tigo,736,003,0.01375
Bolivia,BOL,591,Bolivia - Viva,736,001,0.08750
Brazil,BRA,55,Brazil-Others,,,0.02600
Brazil,BRA,55,Brazil - CTBC Celular,724,007,0.02600
Brazil,BRA,55,Brazil - Claro,724,005,0.02600
Brazil,BRA,55,Brazil - Datora Telecommunications,724,018,0.02600
Brazil,BRA,55,Brazil - Nextel Brazil,724,000,0.02600
Brazil,BRA,55,Brazil - Oi Grupo,724,031,0.02600
Brazil,BRA,55,Brazil - Options Comp & Elet Ltda,724,036,0.02600
Brazil,BRA,55,Brazil - Porto Seguro Telecomunicacoes,724,054,0.02600
Brazil,BRA,55,Brazil - Sercomtel Celular,724,055,0.02600
Brazil,BRA,55,Brazil - TIM Celular,724,002,0.02600
Brazil,BRA,55,Brazil - Telcom Telecomunicacoes Do Brasil,724,016,0.02600
Brazil,BRA,55,Brazil - Unicel Do Brasil Telecomunicacoes,724,037,0.02600
Brazil,BRA,55,Brazil - Vivo,724,019,0.02600
Brazil,BRA,55,Brazil VIVO MG,724,023,0.02600
Barbados,BRB,1246,Barbados-Others,,,0.03770
Barbados,BRB,1246,Barbados-LIME (Cable and Wireless),342,600,0.03770
Barbados,BRB,1246,Barbados-Sunbeach,342,820,0.03770
